subgenome,condition,n_arabica_samples,arabica_pairwise_distance_correlation_full_vs_arabica_only,arabica_procrustes_similarity_full_vs_arabica_only,arabica_procrustes_rmse_full_vs_arabica_only,cultivated_introgressed_distance_full_panel_restricted,cultivated_introgressed_distance_arabica_only,arabica_only_to_full_separation_ratio
sgC,filtered_reservoir_12000,39,0.8911136714218086,0.5550557550190238,0.04506125530495538,97.17971438131612,126.9184522674709,1.306017959359967
sgC,priority_seed_20250416_6000,39,0.8857306687920012,0.5526618148516171,0.04530369904995293,67.47077905443942,87.91374201068442,1.302989875657881
sgC,priority_seed_20250416_12000,39,0.8892294530070255,0.5493073702398938,0.04564341686125232,95.43095788663638,124.6967856584708,1.306670166788011
sgC,priority_seed_20250416_24000,39,0.8874480309954657,0.5510207856746125,0.04546989253496147,135.6363873088785,176.7177118249901,1.302878345045854
sgC,priority_seed_20250416_48000,39,0.8856020504192736,0.5522109379256195,0.04534936113121969,191.4124987300633,248.9270863641661,1.300474566789977
sgC,priority_seed_20250417_6000,39,0.888063551908343,0.5479569173694296,0.04578018253978335,66.19951198423765,86.43573717569627,1.30568541345557
sgC,priority_seed_20250417_12000,39,0.8882271970389101,0.5473234947468826,0.04584433174236883,94.8713542174589,124.1285317729149,1.30838789850511
sgC,priority_seed_20250417_24000,39,0.89001593121176,0.5503483951676937,0.04553798816860248,134.5281419808905,176.6135438537957,1.312837159966748
sgC,priority_seed_20250417_48000,39,0.8905427339881266,0.5486816844646183,0.04570678252285689,190.9935874214559,250.1764953812579,1.309868560294677
sgC,priority_seed_20250418_6000,39,0.892278619637441,0.5491376066881848,0.0456606094844435,67.57477146358328,88.33389435927725,1.307202265669241
sgC,priority_seed_20250418_12000,39,0.8883026834864965,0.5486041891800201,0.0457146307754045,95.49746502191559,124.6185809278052,1.304941245290717
sgC,priority_seed_20250418_24000,39,0.891212202752947,0.5490605791698377,0.04566841036446136,135.5281769762885,177.9186442363417,1.312779734855208
sgC,priority_seed_20250418_48000,39,0.8926206817343135,0.5504852032737131,0.04552413307313229,192.0549605773484,251.7661170482419,1.310906608667603
sgC,priority_seed_20250419_6000,39,0.8849670908304003,0.5425256077062649,0.04633023265085422,66.48395104015081,87.43109738408897,1.315070720319973
sgC,priority_seed_20250419_12000,39,0.8880067526481775,0.5416762897661892,0.04641624642216274,94.12017550473047,123.9013007615929,1.316415955422498
sgC,priority_seed_20250419_24000,39,0.8881025888129076,0.5491286968832326,0.0456615118154663,133.7715220572007,175.0871255163698,1.308852009933045
sgC,priority_seed_20250419_48000,39,0.8874883225180228,0.5483918126400282,0.04573613898367397,190.0142262162239,248.1337713727286,1.305869441008951
sgC,priority_seed_20250420_6000,39,0.8879226567148872,0.5532854209115174,0.04524054400931164,68.21723802970035,89.2154781783858,1.307814282066701
sgC,priority_seed_20250420_12000,39,0.8841836936126721,0.5501448345338589,0.0455586035553498,95.83638976159189,124.433873191881,1.298399005862282
sgC,priority_seed_20250420_24000,39,0.8881903569597001,0.5501739890839031,0.04555565095929385,135.959243293162,176.6834097276374,1.299532164552166
sgC,priority_seed_20250420_48000,39,0.8899282270853877,0.5503933612704722,0.04553343427435567,192.3203063878188,251.2969248661057,1.306658301382689
sgC,all_eligible,39,0.889022465552462,0.5509294170327775,0.04547914579701182,1663.355689483203,2168.350947482465,1.303600282965432
sgE,filtered_reservoir_12000,39,0.8212779254529359,0.5279169509441124,0.04780970883117873,40.3899754801654,73.6129773567695,1.822555633709636
sgE,priority_seed_20250416_6000,39,0.7710872778228066,0.5122176291479711,0.04939964095312541,26.85643190674988,50.96700411111505,1.897757836487036
sgE,priority_seed_20250416_12000,39,0.7955949713481505,0.5148991411434857,0.04912807367700894,39.32903421371977,73.8273387092353,1.877171412551009
sgE,priority_seed_20250416_24000,39,0.7919907780854254,0.5137987825880248,0.04923951131971121,54.48481250640697,103.2755376645796,1.895492209915107
sgE,priority_seed_20250416_48000,39,0.8047298324497097,0.5180854621612037,0.04880538240392805,81.13939570593423,148.7306728930329,1.833026627805601
sgE,priority_seed_20250417_6000,39,0.8152195560213552,0.5221996167924932,0.04838872576819039,30.1720060727083,53.60125061460677,1.77652259798168
sgE,priority_seed_20250417_12000,39,0.8071547546844468,0.521297479653408,0.04848008874771637,40.79723096941964,74.98278208878975,1.837938024396669
sgE,priority_seed_20250417_24000,39,0.8065377104129013,0.5218301680586863,0.04842614129587493,58.42412522453225,106.1030818271652,1.816083363155134
sgE,priority_seed_20250417_48000,39,0.8121055010537847,0.5216799700340291,0.04844135244111778,81.90978432143741,149.5218051839187,1.825444987098884
sgE,priority_seed_20250418_6000,39,0.7941309974468168,0.5121984197408196,0.04940158636540948,25.84314205900034,49.69732110266907,1.923037105519493
sgE,priority_seed_20250418_12000,39,0.794883025331848,0.5190978894966074,0.04870284990204053,39.3099002449045,71.95939880041017,1.830566812739186
sgE,priority_seed_20250418_24000,39,0.804580411036351,0.5221531251967981,0.04839343415511028,57.13894129670098,103.6730878615853,1.814403373756087
sgE,priority_seed_20250418_48000,39,0.7937372126998726,0.517725450748848,0.04884184217691723,78.9233570679965,145.9050114210014,1.848692413011483
sgE,priority_seed_20250419_6000,39,0.8302277645453707,0.5027291218946073,0.05036057943615947,27.66282753397092,51.38625249388254,1.857592194101577
sgE,priority_seed_20250419_12000,39,0.8226588431767828,0.5205736886014337,0.04855338991690409,40.12272194032708,73.54053070196252,1.832889872510056
sgE,priority_seed_20250419_24000,39,0.8133184038068185,0.518620741527998,0.04875117255521402,57.25400996144026,104.5300502351571,1.82572452664113
sgE,priority_seed_20250419_48000,39,0.812796215131945,0.5199666242741914,0.04861486971115915,82.37665630752028,148.9420670475775,1.808061576225695
sgE,priority_seed_20250420_6000,39,0.8236248976052978,0.5055865312676902,0.05007119834015997,28.87669303550454,51.90740817765272,1.797553761222983
sgE,priority_seed_20250420_12000,39,0.8367379451971875,0.5053692353490693,0.05009320475326936,40.7874174194331,73.67974589111418,1.806433222614619
sgE,priority_seed_20250420_24000,39,0.8101107771722926,0.5189065978815015,0.04872222275696161,58.09540713212652,105.1208301247876,1.809451647110605
sgE,priority_seed_20250420_48000,39,0.8080881568852836,0.5185281137381123,0.04876055333614433,81.4047380891659,148.6342922770674,1.82586782742624
sgE,all_eligible,39,0.8064665238606026,0.5193225253910327,0.04868010014068607,851.8621735685834,1563.987256072956,1.83596279374769
