subgenome,condition,panel_type,component,explained_variance_ratio
sgE,priority_seed_20250419_48000,arabica_only,PC3,0.05795145512721434
sgE,priority_seed_20250419_48000,arabica_only,PC4,0.05468302668581136
sgE,priority_seed_20250419_48000,arabica_only,PC5,0.03124257511024203
sgE,priority_seed_20250420_6000,full_panel,PC1,0.5867311259403633
sgE,priority_seed_20250420_6000,full_panel,PC2,0.09340427263116248
sgE,priority_seed_20250420_6000,full_panel,PC3,0.03312443441308695
sgE,priority_seed_20250420_6000,full_panel,PC4,0.02929867150667741
sgE,priority_seed_20250420_6000,full_panel,PC5,0.02326390327647066
sgE,priority_seed_20250420_6000,arabica_only,PC1,0.2525496501230296
sgE,priority_seed_20250420_6000,arabica_only,PC2,0.0977027070403531
sgE,priority_seed_20250420_6000,arabica_only,PC3,0.05634413671138432
sgE,priority_seed_20250420_6000,arabica_only,PC4,0.0540270638976266
sgE,priority_seed_20250420_6000,arabica_only,PC5,0.03114565331235701
sgE,priority_seed_20250420_12000,full_panel,PC1,0.5882556280211662
sgE,priority_seed_20250420_12000,full_panel,PC2,0.09485772567008441
sgE,priority_seed_20250420_12000,full_panel,PC3,0.03291113735862059
sgE,priority_seed_20250420_12000,full_panel,PC4,0.02906140943813684
sgE,priority_seed_20250420_12000,full_panel,PC5,0.0223949138817324
sgE,priority_seed_20250420_12000,arabica_only,PC1,0.2490120396016612
sgE,priority_seed_20250420_12000,arabica_only,PC2,0.09919684189573631
sgE,priority_seed_20250420_12000,arabica_only,PC3,0.05920565642314404
sgE,priority_seed_20250420_12000,arabica_only,PC4,0.05540091988465518
sgE,priority_seed_20250420_12000,arabica_only,PC5,0.03124082010992699
sgE,priority_seed_20250420_24000,full_panel,PC1,0.5838523527441248
sgE,priority_seed_20250420_24000,full_panel,PC2,0.09448120460694864
sgE,priority_seed_20250420_24000,full_panel,PC3,0.03360360250906794
sgE,priority_seed_20250420_24000,full_panel,PC4,0.02864769028621597
sgE,priority_seed_20250420_24000,full_panel,PC5,0.02266332254099982
sgE,priority_seed_20250420_24000,arabica_only,PC1,0.2466986418331131
sgE,priority_seed_20250420_24000,arabica_only,PC2,0.09939131157414874
sgE,priority_seed_20250420_24000,arabica_only,PC3,0.05843266217468738
sgE,priority_seed_20250420_24000,arabica_only,PC4,0.05545255247795376
sgE,priority_seed_20250420_24000,arabica_only,PC5,0.03140496700314876
sgE,priority_seed_20250420_48000,full_panel,PC1,0.5839419028109588
sgE,priority_seed_20250420_48000,full_panel,PC2,0.09473475432996044
sgE,priority_seed_20250420_48000,full_panel,PC3,0.03365256467198334
sgE,priority_seed_20250420_48000,full_panel,PC4,0.02856053962855938
sgE,priority_seed_20250420_48000,full_panel,PC5,0.02273216707347675
sgE,priority_seed_20250420_48000,arabica_only,PC1,0.2454993100865229
sgE,priority_seed_20250420_48000,arabica_only,PC2,0.09947106427086103
sgE,priority_seed_20250420_48000,arabica_only,PC3,0.05858596635302253
sgE,priority_seed_20250420_48000,arabica_only,PC4,0.05539320881499182
sgE,priority_seed_20250420_48000,arabica_only,PC5,0.03153598025526518
sgE,all_eligible,full_panel,PC1,0.5830893000244203
sgE,all_eligible,full_panel,PC2,0.09325537553796584
sgE,all_eligible,full_panel,PC3,0.0338317685143262
sgE,all_eligible,full_panel,PC4,0.0278543531694683
sgE,all_eligible,full_panel,PC5,0.02288699723693677
sgE,all_eligible,arabica_only,PC1,0.2442173477205629
sgE,all_eligible,arabica_only,PC2,0.09896235556692652
sgE,all_eligible,arabica_only,PC3,0.05832411039420401
sgE,all_eligible,arabica_only,PC4,0.05503591314982954
sgE,all_eligible,arabica_only,PC5,0.03100370157041633
