subgenome,condition,panel_type,component,explained_variance_ratio
sgC,priority_seed_20250417_24000,arabica_only,PC4,0.04755137244238467
sgC,priority_seed_20250417_24000,arabica_only,PC5,0.03531495455615288
sgC,priority_seed_20250417_48000,full_panel,PC1,0.3975134950992087
sgC,priority_seed_20250417_48000,full_panel,PC2,0.1450839775671785
sgC,priority_seed_20250417_48000,full_panel,PC3,0.08268057363015467
sgC,priority_seed_20250417_48000,full_panel,PC4,0.05018471433834711
sgC,priority_seed_20250417_48000,full_panel,PC5,0.03787732913127876
sgC,priority_seed_20250417_48000,arabica_only,PC1,0.3417991098811409
sgC,priority_seed_20250417_48000,arabica_only,PC2,0.1681270660767375
sgC,priority_seed_20250417_48000,arabica_only,PC3,0.05661069638525936
sgC,priority_seed_20250417_48000,arabica_only,PC4,0.04740243411291031
sgC,priority_seed_20250417_48000,arabica_only,PC5,0.03536421240719209
sgC,priority_seed_20250418_6000,full_panel,PC1,0.393738842165832
sgC,priority_seed_20250418_6000,full_panel,PC2,0.1479621758299243
sgC,priority_seed_20250418_6000,full_panel,PC3,0.08189588891756841
sgC,priority_seed_20250418_6000,full_panel,PC4,0.05073504701808182
sgC,priority_seed_20250418_6000,full_panel,PC5,0.03621810445767379
sgC,priority_seed_20250418_6000,arabica_only,PC1,0.3416773861211793
sgC,priority_seed_20250418_6000,arabica_only,PC2,0.1660733800597719
sgC,priority_seed_20250418_6000,arabica_only,PC3,0.05748920784623976
sgC,priority_seed_20250418_6000,arabica_only,PC4,0.04900850885551074
sgC,priority_seed_20250418_6000,arabica_only,PC5,0.03408414537133909
sgC,priority_seed_20250418_12000,full_panel,PC1,0.3996406369884446
sgC,priority_seed_20250418_12000,full_panel,PC2,0.1483170134931984
sgC,priority_seed_20250418_12000,full_panel,PC3,0.08179867861155739
sgC,priority_seed_20250418_12000,full_panel,PC4,0.05075677758331359
sgC,priority_seed_20250418_12000,full_panel,PC5,0.03683798909137395
sgC,priority_seed_20250418_12000,arabica_only,PC1,0.3474057633245027
sgC,priority_seed_20250418_12000,arabica_only,PC2,0.1675634442073711
sgC,priority_seed_20250418_12000,arabica_only,PC3,0.05787035546495413
sgC,priority_seed_20250418_12000,arabica_only,PC4,0.04878188432705744
sgC,priority_seed_20250418_12000,arabica_only,PC5,0.03370789896927401
sgC,priority_seed_20250418_24000,full_panel,PC1,0.3997777441119093
sgC,priority_seed_20250418_24000,full_panel,PC2,0.1451903675411245
sgC,priority_seed_20250418_24000,full_panel,PC3,0.08230503677936989
sgC,priority_seed_20250418_24000,full_panel,PC4,0.05106573603218308
sgC,priority_seed_20250418_24000,full_panel,PC5,0.03718065426262443
sgC,priority_seed_20250418_24000,arabica_only,PC1,0.3476710717399887
sgC,priority_seed_20250418_24000,arabica_only,PC2,0.1687418782264496
sgC,priority_seed_20250418_24000,arabica_only,PC3,0.05720044391851337
sgC,priority_seed_20250418_24000,arabica_only,PC4,0.04830384410910074
sgC,priority_seed_20250418_24000,arabica_only,PC5,0.03362268633332358
sgC,priority_seed_20250418_48000,full_panel,PC1,0.3979925286660788
sgC,priority_seed_20250418_48000,full_panel,PC2,0.1448179255527907
sgC,priority_seed_20250418_48000,full_panel,PC3,0.08253057119118101
sgC,priority_seed_20250418_48000,full_panel,PC4,0.05066433599149089
sgC,priority_seed_20250418_48000,full_panel,PC5,0.03767048788262919
sgC,priority_seed_20250418_48000,arabica_only,PC1,0.3451821883730969
sgC,priority_seed_20250418_48000,arabica_only,PC2,0.1692135674907511
sgC,priority_seed_20250418_48000,arabica_only,PC3,0.05741297886824364
sgC,priority_seed_20250418_48000,arabica_only,PC4,0.04808244721002529
sgC,priority_seed_20250418_48000,arabica_only,PC5,0.03408943360803966
sgC,priority_seed_20250419_6000,full_panel,PC1,0.3919582617810035
sgC,priority_seed_20250419_6000,full_panel,PC2,0.1410864294620827
sgC,priority_seed_20250419_6000,full_panel,PC3,0.08178170900467496
sgC,priority_seed_20250419_6000,full_panel,PC4,0.05129124981924641
sgC,priority_seed_20250419_6000,full_panel,PC5,0.03745032621532193
sgC,priority_seed_20250419_6000,arabica_only,PC1,0.3339162594858882
sgC,priority_seed_20250419_6000,arabica_only,PC2,0.1656186745805483
sgC,priority_seed_20250419_6000,arabica_only,PC3,0.05659984519410441
sgC,priority_seed_20250419_6000,arabica_only,PC4,0.04525498299966627
sgC,priority_seed_20250419_6000,arabica_only,PC5,0.03727438183504034
sgC,priority_seed_20250419_12000,full_panel,PC1,0.3936433716796513
sgC,priority_seed_20250419_12000,full_panel,PC2,0.1423890389794266
sgC,priority_seed_20250419_12000,full_panel,PC3,0.08162027651355563
sgC,priority_seed_20250419_12000,full_panel,PC4,0.05116053121344711
sgC,priority_seed_20250419_12000,full_panel,PC5,0.03755024937834464
sgC,priority_seed_20250419_12000,arabica_only,PC1,0.3355123965126038
sgC,priority_seed_20250419_12000,arabica_only,PC2,0.1663722472486871
sgC,priority_seed_20250419_12000,arabica_only,PC3,0.05740740058388816
sgC,priority_seed_20250419_12000,arabica_only,PC4,0.0465706805528693
sgC,priority_seed_20250419_12000,arabica_only,PC5,0.03673043850820485
sgC,priority_seed_20250419_24000,full_panel,PC1,0.3944860175678885
sgC,priority_seed_20250419_24000,full_panel,PC2,0.14407468018175
sgC,priority_seed_20250419_24000,full_panel,PC3,0.08232210279255138
